AccountID|CustomerID|StatementDate|LoanID|ProjectionNumber|InterestRate|Amount|Principal|MonthlyFee|OriginationFee
392068|200812202102|20170310|262911|0|.1400|20.0000|.0000|.0000|0
390212|2402202108|20170310|262918|0|.1400|847.3400|833.3400|14.0000|0
390212|2402202108|20170410|262918|1|.1400|847.2600|833.2600|14.0000|0
391241|2402202104|20170310|262921|0|.1400|847.3400|833.3400|14.0000|0
391241|2402202104|20170410|262921|1|.1400|847.2600|833.2600|14.0000|0
392068|200812202102|20170310|262923|0|.1400|847.3400|833.3400|14.0000|0
392068|200812202102|20170410|262923|1|.1400|847.2600|833.2600|14.0000|0
391241|2402202104|20170310|262941|0|.1400|1271.0000|1250.0000|21.0000|0
391241|2402202104|20170410|262941|1|.1400|1271.0000|1250.0000|21.0000|0
391241|2402202104|20170510|262941|2|.1400|1271.0000|1250.0000|21.0000|0
391241|2402202104|20170610|262941|3|.1400|1271.0000|1250.0000|21.0000|0
391241|2402202104|20170710|262941|4|.1400|1271.0000|1250.0000|21.0000|0
392068|200812202102|20170310|262943|0|.1400|1271.0000|1250.0000|21.0000|0
392068|200812202102|20170410|262943|1|.1400|1271.0000|1250.0000|21.0000|0
392068|200812202102|20170510|262943|2|.1400|1271.0000|1250.0000|21.0000|0
392068|200812202102|20170610|262943|3|.1400|1271.0000|1250.0000|21.0000|0
392068|200812202102|20170710|262943|4|.1400|1271.0000|1250.0000|21.0000|0
