AccountID|CustomerID|LoanID|PostedTransactionID|ReversalTransactionID|TransactionReversalFlag|AmountAppliedToLoan|PrincipalPaymentApplied|FeePaymentApplied|FeeApplied|PaymentApplied|AdvanceApplied|PrincipalAmountAppliedToLoan|FeeAmountAppliedToLoan|NSFFeeAmountAppliedToLoan|LateFeeAmountAppliedToLoan|AmountAppliedToOtherFees|InterestAmountAppliedToLoan|TransactionAmount|TransactionCode
385030|200812202114|262901|343277381|0|False|20.00|.00|.00|20.00|.00|.00|.00|.00|.00|20.00|.00|.00|20.00|8533
385570|2402202113|262902|343277382|0|False|20.00|.00|.00|20.00|.00|.00|.00|.00|.00|20.00|.00|.00|20.00|8533
388727|2402202111|262903|343277379|0|False|20.00|.00|.00|20.00|.00|.00|.00|.00|.00|20.00|.00|.00|20.00|8533
389045|2402202110|262904|343277380|0|False|20.00|.00|.00|20.00|.00|.00|.00|.00|.00|20.00|.00|.00|20.00|8533
389046|2402202109|262905|343277420|0|False|20.00|.00|.00|20.00|.00|.00|.00|.00|.00|20.00|.00|.00|20.00|8533
391227|2402202105|262908|343277481|0|False|20.00|.00|.00|20.00|.00|.00|.00|.00|.00|20.00|.00|.00|20.00|8533
385030|200812202114|262913|343278795|343274786|True|847.34|833.34|14.00|.00|847.34|.00|833.34|14.00|.00|.00|.00|.00|847.34|8586
388727|2402202111|262915|343278836|343274866|True|847.34|833.34|14.00|.00|847.34|.00|833.34|14.00|.00|.00|.00|.00|2118.34|8586
389045|2402202110|262916|343278890|343274909|True|847.34|833.34|14.00|.00|847.34|.00|833.34|14.00|.00|.00|.00|.00|847.34|8586
389046|2402202109|262917|343278935|343274945|True|847.34|833.34|14.00|.00|847.34|.00|833.34|14.00|.00|.00|.00|.00|847.34|8586
391227|2402202105|262920|343278976|343275053|True|847.34|833.34|14.00|.00|847.34|.00|833.34|14.00|.00|.00|.00|.00|847.34|8586
388727|2402202111|262932|343278836|343274866|True|1271.00|1250.00|21.00|.00|1271.00|.00|1250.00|21.00|.00|.00|.00|.00|2118.34|8586
391241|2402202104|262941|343279017|0|False|15000.00|.00|.00|.00|.00|15000.00|15000.00|.00|.00|.00|.00|.00|15000.00|8625
391241|2402202104|262941|343279025|0|False|21.00|.00|.00|21.00|.00|.00|.00|21.00|.00|.00|.00|.00|21.00|8590
391951|2402202103|262942|343279052|0|False|15000.00|.00|.00|.00|.00|15000.00|15000.00|.00|.00|.00|.00|.00|15000.00|8625
391951|2402202103|262942|343279060|0|False|150.00|.00|.00|.00|.00|.00|.00|.00|.00|.00|150.00|.00|150.00|8714
391951|2402202103|262942|343279061|0|False|21.00|.00|.00|21.00|.00|.00|.00|21.00|.00|.00|.00|.00|21.00|8590
392068|200812202102|262943|343279088|0|False|15000.00|.00|.00|.00|.00|15000.00|15000.00|.00|.00|.00|.00|.00|15000.00|8625
392068|200812202102|262943|343279096|0|False|21.00|.00|.00|21.00|.00|.00|.00|21.00|.00|.00|.00|.00|21.00|8590
