AccountID|CustomerID|LoanID|PostedTransactionID|ReversalTransactionID|TransactionReversalFlag|AmountAppliedToLoan|PrincipalPaymentApplied|FeePaymentApplied|FeeApplied|PaymentApplied|AdvanceApplied|PrincipalAmountAppliedToLoan|FeeAmountAppliedToLoan|NSFFeeAmountAppliedToLoan|LateFeeAmountAppliedToLoan|AmountAppliedToOtherFees|InterestAmountAppliedToLoan|TransactionAmount|TransactionCode
388727|2402202111|262903|343290865|0|False|-20.00|.00|-20.00|.00|-20.00|.00|.00|.00|.00|-20.00|.00|.00|-6395.02|8505
389045|2402202110|262904|343290909|0|False|-20.00|.00|-20.00|.00|-20.00|.00|.00|.00|.00|-20.00|.00|.00|-6700.64|8507
389046|2402202109|262905|343290947|0|False|-20.00|.00|-20.00|.00|-20.00|.00|.00|.00|.00|-20.00|.00|.00|-6700.64|8507
385030|200812202114|262913|343289155|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
385030|200812202114|262913|343290786|0|False|-847.34|-833.34|-14.00|.00|-847.34|.00|-833.34|-14.00|.00|.00|.00|.00|-847.34|8505
385570|2402202113|262914|343289156|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
385570|2402202113|262914|343290822|0|False|-847.34|-833.34|-14.00|.00|-847.34|.00|-833.34|-14.00|.00|.00|.00|.00|-2118.34|8505
388727|2402202111|262915|343289157|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
388727|2402202111|262915|343290865|0|False|-2542.02|-2514.02|-28.00|.00|-2542.02|.00|-2514.02|-28.00|.00|.00|.00|.00|-6395.02|8505
389045|2402202110|262916|343290909|0|False|-6680.64|-6666.64|-14.00|.00|-6680.64|.00|-6666.64|-14.00|.00|.00|.00|.00|-6700.64|8507
389046|2402202109|262917|343290947|0|False|-6680.64|-6666.64|-14.00|.00|-6680.64|.00|-6666.64|-14.00|.00|.00|.00|.00|-6700.64|8507
390212|2402202108|262918|343289249|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
390212|2402202108|262918|343290985|0|False|-847.34|-833.34|-14.00|.00|-847.34|.00|-833.34|-14.00|.00|.00|.00|.00|-847.34|8505
391241|2402202104|262921|343289310|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
391241|2402202104|262921|343291021|0|False|-847.34|-833.34|-14.00|.00|-847.34|.00|-833.34|-14.00|.00|.00|.00|.00|-2118.34|8505
391951|2402202103|262922|343289323|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
391951|2402202103|262922|343291064|0|False|-847.34|-833.34|-14.00|.00|-847.34|.00|-833.34|-14.00|.00|.00|.00|.00|-2118.34|8505
392068|200812202102|262923|343289324|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
392068|200812202102|262923|343291112|0|False|-1694.68|-1666.68|-28.00|.00|-1694.68|.00|-1666.68|-28.00|.00|.00|.00|.00|-4236.68|8505
1001063074|2402202101|262924|343289322|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
1001063074|2402202101|262924|343291155|0|False|-847.34|-833.34|-14.00|.00|-847.34|.00|-833.34|-14.00|.00|.00|.00|.00|-847.34|8505
385570|2402202113|262931|343289163|0|False|21.00|.00|.00|21.00|.00|.00|.00|21.00|.00|.00|.00|.00|21.00|8590
385570|2402202113|262931|343290822|0|False|-1271.00|-1250.00|-21.00|.00|-1271.00|.00|-1250.00|-21.00|.00|.00|.00|.00|-2118.34|8505
388727|2402202111|262932|343289165|0|False|21.00|.00|.00|21.00|.00|.00|.00|21.00|.00|.00|.00|.00|21.00|8590
388727|2402202111|262932|343290865|0|False|-3833.00|-3812.00|-21.00|.00|-3833.00|.00|-3812.00|-21.00|.00|.00|.00|.00|-6395.02|8505
391241|2402202104|262941|343291021|0|False|-1271.00|-1250.00|-21.00|.00|-1271.00|.00|-1250.00|-21.00|.00|.00|.00|.00|-2118.34|8505
391951|2402202103|262942|343291064|0|False|-1271.00|-1250.00|-21.00|.00|-1271.00|.00|-1250.00|-21.00|.00|.00|.00|.00|-2118.34|8505
392068|200812202102|262943|343291112|0|False|-2542.00|-2500.00|-42.00|.00|-2542.00|.00|-2500.00|-42.00|.00|.00|.00|.00|-4236.68|8505
