AccountID|CustomerID|LoanID|PostedTransactionID|ReversalTransactionID|TransactionReversalFlag|AmountAppliedToLoan|PrincipalPaymentApplied|FeePaymentApplied|FeeApplied|PaymentApplied|AdvanceApplied|PrincipalAmountAppliedToLoan|FeeAmountAppliedToLoan|NSFFeeAmountAppliedToLoan|LateFeeAmountAppliedToLoan|AmountAppliedToOtherFees|InterestAmountAppliedToLoan|TransactionAmount|TransactionCode
385030|200812202114|262913|343274589|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
385030|200812202114|262913|343274786|0|False|-847.34|-833.34|-14.00|.00|-847.34|.00|-833.34|-14.00|.00|.00|.00|.00|-847.34|8505
385570|2402202113|262914|343274590|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
385570|2402202113|262914|343274822|0|False|-847.34|-833.34|-14.00|.00|-847.34|.00|-833.34|-14.00|.00|.00|.00|.00|-2000.00|8505
388727|2402202111|262915|343274595|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
388727|2402202111|262915|343274866|0|False|-847.34|-833.34|-14.00|.00|-847.34|.00|-833.34|-14.00|.00|.00|.00|.00|-2118.34|8505
389045|2402202110|262916|343274594|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
389045|2402202110|262916|343274909|0|False|-847.34|-833.34|-14.00|.00|-847.34|.00|-833.34|-14.00|.00|.00|.00|.00|-847.34|8505
389046|2402202109|262917|343274685|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
389046|2402202109|262917|343274945|0|False|-847.34|-833.34|-14.00|.00|-847.34|.00|-833.34|-14.00|.00|.00|.00|.00|-847.34|8505
390212|2402202108|262918|343274686|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
390212|2402202108|262918|343274981|0|False|-847.34|-833.34|-14.00|.00|-847.34|.00|-833.34|-14.00|.00|.00|.00|.00|-847.34|8505
390757|2402202107|262919|343274719|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
390757|2402202107|262919|343275017|0|False|-847.34|-833.34|-14.00|.00|-847.34|.00|-833.34|-14.00|.00|.00|.00|.00|-847.34|8505
391227|2402202105|262920|343274718|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
391227|2402202105|262920|343275053|0|False|-847.34|-833.34|-14.00|.00|-847.34|.00|-833.34|-14.00|.00|.00|.00|.00|-847.34|8505
391241|2402202104|262921|343274769|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
391241|2402202104|262921|343275089|0|False|-847.34|-833.34|-14.00|.00|-847.34|.00|-833.34|-14.00|.00|.00|.00|.00|-847.34|8505
391951|2402202103|262922|343274770|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
391951|2402202103|262922|343275125|0|False|-847.34|-833.34|-14.00|.00|-847.34|.00|-833.34|-14.00|.00|.00|.00|.00|-847.34|8505
392068|200812202102|262923|343275161|0|False|-847.34|-833.34|-14.00|.00|-847.34|.00|-833.34|-14.00|.00|.00|.00|.00|-847.34|8505
392068|200812202102|262923|343276816|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
1001063074|2402202101|262924|343275197|0|False|-847.34|-833.34|-14.00|.00|-847.34|.00|-833.34|-14.00|.00|.00|.00|.00|-847.34|8505
1001063074|2402202101|262924|343276815|0|False|14.00|.00|.00|14.00|.00|.00|.00|14.00|.00|.00|.00|.00|14.00|8590
385570|2402202113|262931|343274596|0|False|21.00|.00|.00|21.00|.00|.00|.00|21.00|.00|.00|.00|.00|21.00|8590
385570|2402202113|262931|343274822|0|False|-1152.66|-981.66|-21.00|.00|-1152.66|.00|-981.66|-21.00|.00|.00|-150.00|.00|-2000.00|8505
388727|2402202111|262932|343274600|0|False|21.00|.00|.00|21.00|.00|.00|.00|21.00|.00|.00|.00|.00|21.00|8590
388727|2402202111|262932|343274866|0|False|-1271.00|-1250.00|-21.00|.00|-1271.00|.00|-1250.00|-21.00|.00|.00|.00|.00|-2118.34|8505
